filename,url,size_bytes,size_mb
BuenosAires2ArmChaiseRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BuenosAires2ArmChaiseRoom1.jpg,182440,0.17
BuenosAiresSofaRoom1.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/BuenosAiresSofaRoom1.jpg,200312,0.19
Burton2 [WilderChoc] + View Chair_3_ok.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Burton2%20%5BWilderChoc%5D%20%2B%20View%20Chair_3_ok.jpg,329183,0.31
Burton2_Wilder-Choc_DiamondStitchFawn.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Burton2_Wilder-Choc_DiamondStitchFawn.jpg,257260,0.25
CABANA_3CSofa_Chair_Wilder-Chocolate_room_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CABANA_3CSofa_Chair_Wilder-Chocolate_room_2023.jpg,272934,0.26
CANYON_4CConversation_wOttoman_SoftSationsJava_2020.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CANYON_4CConversation_wOttoman_SoftSationsJava_2020.jpg,231362,0.22
CHEYENNE_RS_3_030613.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CHEYENNE_RS_3_030613.jpg,185723,0.18
CITY CRAFT_3CSofa-SSBianco-ViewChair-Kiva-Steps.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CITY%20CRAFT_3CSofa-SSBianco-ViewChair-Kiva-Steps.jpg,179547,0.17
CS- 712-32-PB_Eugene-HP_2C Sofa_724-24-PB Recl_071720.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CS-%20712-32-PB_Eugene-HP_2C%20Sofa_724-24-PB%20Recl_071720.jpg,340028,0.32
CS- 712-32-PB_Eugene-HP_2C Sofa_724-24-PB Recl_071720_Cropped.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CS-%20712-32-PB_Eugene-HP_2C%20Sofa_724-24-PB%20Recl_071720_Cropped.jpg,364704,0.35
CS711-24-SP_Sect_EugeneCream_112020.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/CS711-24-SP_Sect_EugeneCream_112020.jpg,234063,0.22
Camden_3C-Sofa_Chair_Otto_Saloon-Blush_RS_032219.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Camden_3C-Sofa_Chair_Otto_Saloon-Blush_RS_032219.jpg,187431,0.18
Cameo_3CSofa-Chair_Amalfi-Mist_Room.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_3CSofa-Chair_Amalfi-Mist_Room.jpg,195569,0.19
Cameo_Chaise-Sectional_Denver-Luxe Blue_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_Chaise-Sectional_Denver-Luxe%20Blue_2023.jpg,232545,0.22
Cameo_Chaise-Sectional_Valentino-Skylight_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_Chaise-Sectional_Valentino-Skylight_2023.jpg,232203,0.22
Cameo_RS_2_030613.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_RS_2_030613.jpg,268891,0.26
Cameo_RS_Denver-Caramel-2_092622.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_RS_Denver-Caramel-2_092622.jpg,266194,0.25
"Cameo_SLCO, Denver-LuxeBlue_Room2023.jpg",https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_SLCO%2C%20Denver-LuxeBlue_Room2023.jpg,184440,0.18
Cameo_SLCO_Valentino-Skylight_2023.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Cameo_SLCO_Valentino-Skylight_2023.jpg,172224,0.16
Canyon Room 022812.jpg,https://raw.githubusercontent.com/frysky95/omnia-room-shots/copilot/fix-d6e281e5-9137-45c4-bbde-3dcde535f63d/Canyon%20Room%20022812.jpg,184598,0.18
